id_zone,INSEE_C,LIBGEO,EPCI,DEP,REG,loypredm2,lwr.IPm2,upr.IPm2,TYPPRED,nbobs_com,nbobs_mail,R2_adj
1,67462,Sélestat,246700967,67,44,10.2495505,8.086304165,12.99150803,commune,188,580,0.738775136
1,67461,Schwobsheim,200030526,67,44,9.802420683,7.730079091,12.43033223,maille,2,580,0.738775136
1,67360,Ohnenheim,200030526,67,44,9.802420683,7.730079091,12.43033223,maille,10,580,0.738775136
1,67239,Kintzheim,246700967,67,44,9.802420683,7.730079091,12.43033223,maille,32,580,0.738775136
1,67056,Bootzheim,200030526,67,44,9.802420683,7.730079091,12.43033223,maille,13,580,0.738775136
1,68113,Guémar,246800577,68,44,9.802420683,7.730079091,12.43033223,maille,14,580,0.738775136
1,67453,Schœnau,200030526,67,44,9.802420683,7.730079091,12.43033223,maille,10,580,0.738775136
1,67187,Heidolsheim,200030526,67,44,9.802420683,7.730079091,12.43033223,maille,7,580,0.738775136
1,68146,Houssen,246800726,68,44,9.802420683,7.730079091,12.43033223,maille,51,580,0.738775136
1,67121,Elsenheim,200030526,67,44,9.802420683,7.730079091,12.43033223,maille,15,580,0.738775136
1,68157,Jebsheim,246800726,68,44,9.802420683,7.730079091,12.43033223,maille,26,580,0.738775136
1,67053,Bœsenbiesen,200030526,67,44,9.802420683,7.730079091,12.43033223,maille,0,580,0.738775136
1,67011,Artolsheim,200030526,67,44,9.802420683,7.730079091,12.43033223,maille,6,580,0.738775136
1,67281,Marckolsheim,200030526,67,44,9.802420683,7.730079091,12.43033223,maille,71,580,0.738775136
1,67310,Mussig,246700967,67,44,9.802420683,7.730079091,12.43033223,maille,15,580,0.738775136
1,68019,Baltzenheim,200066025,68,44,9.802420683,7.730079091,12.43033223,maille,5,580,0.738775136
1,68110,Grussenheim,200030526,68,44,9.802420683,7.730079091,12.43033223,maille,7,580,0.738775136
1,67277,Mackenheim,200030526,67,44,9.802420683,7.730079091,12.43033223,maille,15,580,0.738775136
1,68296,Saint-Hippolyte,246800577,68,44,9.802420683,7.730079091,12.43033223,maille,17,580,0.738775136
1,68009,Artzenheim,200066025,68,44,9.802420683,7.730079091,12.43033223,maille,13,580,0.738775136
1,67195,Hessenheim,200030526,67,44,9.802420683,7.730079091,12.43033223,maille,8,580,0.738775136
1,68028,Bergheim,246800577,68,44,9.802420683,7.730079091,12.43033223,maille,26,580,0.738775136
1,67362,Orschwiller,246700967,67,44,9.802420683,7.730079091,12.43033223,maille,6,580,0.738775136
1,68252,Ostheim,246800577,68,44,9.802420683,7.730079091,12.43033223,maille,19,580,0.738775136
1,68335,Thannenkirch,246800577,68,44,9.802420683,7.730079091,12.43033223,maille,4,580,0.738775136
10,18023,Baugy,241800374,18,24,7.407207251,5.880578262,9.33015714,commune,126,495,0.751891307
10,18109,Henrichemont,200066330,18,24,6.374739261,5.059244641,8.032286147,maille,74,495,0.751891307
10,18162,Neuilly-en-Sancerre,200066330,18,24,6.374739261,5.059244641,8.032286147,maille,6,495,0.751891307
10,18019,Azy,200066330,18,24,6.374739261,5.059244641,8.032286147,maille,21,495,0.751891307
10,18111,Humbligny,200066330,18,24,6.374739261,5.059244641,8.032286147,maille,1,495,0.751891307
10,18116,Jalognes,200069227,18,24,6.374739261,5.059244641,8.032286147,maille,2,495,0.751891307
10,18105,Gron,241800374,18,24,6.374739261,5.059244641,8.032286147,maille,23,495,0.751891307
10,18249,Sens-Beaujeu,200069227,18,24,6.374739261,5.059244641,8.032286147,maille,27,495,0.751891307
10,18194,Rians,200066330,18,24,6.374739261,5.059244641,8.032286147,maille,34,495,0.751891307
10,18132,Lugny-Champagne,200032514,18,24,6.374739261,5.059244641,8.032286147,maille,8,495,0.751891307
10,18079,Crézancy-en-Sancerre,200069227,18,24,6.374739261,5.059244641,8.032286147,maille,21,495,0.751891307
10,18003,Les Aix-d'Angillon,200066330,18,24,6.374739261,5.059244641,8.032286147,maille,97,495,0.751891307
10,18272,Veaugues,200069227,18,24,6.374739261,5.059244641,8.032286147,maille,26,495,0.751891307
10,18090,Étréchy,241800374,18,24,6.374739261,5.059244641,8.032286147,maille,18,495,0.751891307
10,18251,Sévry,200032514,18,24,6.374739261,5.059244641,8.032286147,maille,2,495,0.751891307
10,18098,Gardefort,200069227,18,24,6.374739261,5.059244641,8.032286147,maille,1,495,0.751891307
10,18061,Chaumoux-Marcilly,241800374,18,24,6.374739261,5.059244641,8.032286147,maille,3,495,0.751891307
10,18053,Charentonnay,200032514,18,24,6.374739261,5.059244641,8.032286147,maille,5,495,0.751891307
100,50269,Liesville-sur-Douve,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,3,536,0.66516047
100,50227,Le Ham,200067205,50,28,6.71094204,5.231646587,8.608521679,maille,6,536,0.66516047
100,50571,Sébeville,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,0,536,0.66516047
100,50387,Orglandes,200067205,50,28,6.71094204,5.231646587,8.608521679,maille,16,536,0.66516047
100,50052,Beuzeville-la-Bastille,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,2,536,0.66516047
100,50509,Sainte-Marie-du-Mont,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,32,536,0.66516047
100,50488,Saint-Jean-de-Daye,200066389,50,28,6.71094204,5.231646587,8.608521679,maille,37,536,0.66516047
100,50523,Sainte-Mère-Église,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,85,536,0.66516047
100,50021,Audouville-la-Hubert,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,1,536,0.66516047
100,50016,Appeville,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,9,536,0.66516047
100,50298,Méautis,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,17,536,0.66516047
100,50177,Étienville,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,4,536,0.66516047
100,50373,Neuville-au-Plain,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,0,536,0.66516047
100,50194,Fresville,200067205,50,28,6.71094204,5.231646587,8.608521679,maille,10,536,0.66516047
100,50609,Turqueville,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,0,536,0.66516047
100,50099,Carentan-les-Marais,200042729,50,28,7.259599301,5.639256804,9.345519071,commune,278,536,0.66516047
100,50324,Le Mesnil-Véneron,200066389,50,28,6.71094204,5.231646587,8.608521679,maille,0,536,0.66516047
100,50070,Boutteville,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,3,536,0.66516047
100,50246,Hiesville,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,4,536,0.66516047
100,50517,Saint-Martin-de-Varreville,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,3,536,0.66516047
100,50169,Écausseville,200067205,50,28,6.71094204,5.231646587,8.608521679,maille,0,536,0.66516047
100,50059,Blosville,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,26,536,0.66516047
100,50479,Saint-Germain-de-Varreville,200042729,50,28,6.71094204,5.231646587,8.608521679,maille,0,536,0.66516047
1000,60552,Rouville,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,1,568,0.826002642
1000,60527,Réez-Fosse-Martin,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,7,568,0.826002642
1000,60279,Gondreville,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,9,568,0.826002642
1000,77023,Barcy,200072130,77,11,10.75099308,8.964983432,12.89281268,maille,15,568,0.826002642
1000,77193,Forfry,200072130,77,11,10.75099308,8.964983432,12.89281268,maille,15,568,0.826002642
1000,60683,Villers-Saint-Genest,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,10,568,0.826002642
1000,60489,Péroy-les-Gombries,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,33,568,0.826002642
1000,60446,Nanteuil-le-Haudouin,246000871,60,32,11.19975121,9.332656729,13.44037725,commune,151,568,0.826002642
1000,77476,Trocy-en-Multien,247700065,77,11,10.75099308,8.964983432,12.89281268,maille,21,568,0.826002642
1000,77344,Oissery,200033090,77,11,10.75099308,8.964983432,12.89281268,maille,28,568,0.826002642
1000,60478,Ormoy-le-Davien,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,14,568,0.826002642
1000,60358,Lévignen,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,16,568,0.826002642
1000,60148,Chèvreville,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,6,568,0.826002642
1000,60079,Boissy-Fresnoy,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,29,568,0.826002642
1000,60069,Betz,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,42,568,0.826002642
1000,60092,Boullarre,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,8,568,0.826002642
1000,60473,Ognes,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,2,568,0.826002642
1000,77173,Étrépilly,247700065,77,11,10.75099308,8.964983432,12.89281268,maille,34,568,0.826002642
1000,77483,Varreddes,200072130,77,11,12.20866395,10.16654718,14.66097318,commune,101,568,0.826002642
1000,60020,Antilly,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,4,568,0.826002642
1000,77205,Gesvres-le-Chapitre,200072130,77,11,10.75099308,8.964983432,12.89281268,maille,4,568,0.826002642
1000,60091,Bouillancy,246000871,60,32,10.75099308,8.964983432,12.89281268,maille,18,568,0.826002642
1001,71225,Granges,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,16,476,0.778782307
1001,71436,Saint-Laurent-d'Andenay,247100290,71,27,6.815943076,5.37119559,8.649299627,maille,11,476,0.778782307
1001,71124,Chenôves,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,7,476,0.778782307
1001,71038,Les Bizots,247100290,71,27,6.815943076,5.37119559,8.649299627,maille,0,476,0.778782307
1001,71515,Sercy,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,1,476,0.778782307
1001,71426,Sainte-Hélène,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,11,476,0.778782307
1001,71216,Germagny,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,6,476,0.778782307
1001,71461,Saint-Maurice-des-Champs,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,1,476,0.778782307
1001,71540,Torcy,247100290,71,27,6.815943076,5.37119559,8.649299627,maille,9,476,0.778782307
1001,71471,Saint-Privé,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,1,476,0.778782307
1001,71277,Marcilly-lès-Buxy,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,26,476,0.778782307
1001,71310,Montchanin,247100290,71,27,6.815943076,5.37119559,8.649299627,maille,79,476,0.778782307
1001,71058,Bresse-sur-Grosne,247103765,71,27,6.815943076,5.37119559,8.649299627,maille,6,476,0.778782307
1001,71164,Curtil-sous-Burnand,247103765,71,27,6.815943076,5.37119559,8.649299627,maille,2,476,0.778782307
1001,71278,Marigny,247100290,71,27,6.815943076,5.37119559,8.649299627,maille,1,476,0.778782307
1001,71067,Burnand,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,3,476,0.778782307
1001,71070,Buxy,247104094,71,27,7.499367092,5.918052507,9.503211861,commune,126,476,0.778782307
1001,71449,Saint-Martin-d'Auxy,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,3,476,0.778782307
1001,71412,Saint-Eusèbe,247100290,71,27,6.815943076,5.37119559,8.649299627,maille,16,476,0.778782307
1001,71455,Saint-Martin-du-Tartre,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,15,476,0.778782307
1001,71563,Vaux-en-Pré,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,2,476,0.778782307
1001,71485,Saint-Vallerin,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,7,476,0.778782307
1001,71363,Le Puley,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,2,476,0.778782307
1001,71034,Bissey-sous-Cruchaud,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,30,476,0.778782307
1001,71501,Sassangy,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,6,476,0.778782307
1001,71400,Saint-Clément-sur-Guye,200040293,71,27,6.815943076,5.37119559,8.649299627,maille,0,476,0.778782307
1001,71187,Écuisses,247100290,71,27,6.815943076,5.37119559,8.649299627,maille,34,476,0.778782307
1001,71417,Saint-Gengoux-le-National,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,48,476,0.778782307
1001,71392,Saint-Boil,247104094,71,27,6.815943076,5.37119559,8.649299627,maille,7,476,0.778782307
1002,74197,Nangy,247400583,74,84,18.43232694,13.35710192,25.43595746,maille,19,528,0.783272638
1002,74059,La Chapelle-Rambaud,247400724,74,84,18.43232694,13.35710192,25.43595746,maille,0,528,0.783272638
1002,74016,Archamps,247400690,74,84,18.43232694,13.35710192,25.43595746,maille,49,528,0.783272638
1002,74216,Présilly,247400690,74,84,18.43232694,13.35710192,25.43595746,maille,11,528,0.783272638
1002,74220,Reignier-Ésery,247400583,74,84,18.43232694,13.35710192,25.43595746,maille,91,528,0.783272638
1002,74044,Bossey,247400690,74,84,18.43232694,13.35710192,25.43595746,maille,36,528,0.783272638
1002,74211,Pers-Jussy,247400583,74,84,18.43232694,13.35710192,25.43595746,maille,46,528,0.783272638
1002,74185,Monnetier-Mornex,247400583,74,84,18.43232694,13.35710192,25.43595746,maille,52,528,0.783272638
1002,74009,Andilly,247400112,74,84,18.43232694,13.35710192,25.43595746,maille,14,528,0.783272638
1002,74031,Beaumont,247400690,74,84,18.43232694,13.35710192,25.43595746,maille,69,528,0.783272638
1002,74082,Collonges-sous-Salève,247400690,74,84,18.43232694,13.35710192,25.43595746,maille,81,528,0.783272638
1002,74128,Fillinges,247400666,74,84,18.43232694,13.35710192,25.43595746,maille,60,528,0.783272638
1003,59116,Bry,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,7,483,0.682692466
1003,59619,Villereau,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,46,483,0.682692466
1003,59251,Frasnoy,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,0,483,0.682692466
1003,59006,Amfroipret,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,7,483,0.682692466
1003,59166,Curgies,245901160,59,32,8.055925265,6.299010944,10.30287651,maille,38,483,0.682692466
1003,59232,La Flamengrie,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,7,483,0.682692466
1003,59451,Orsinval,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,23,483,0.682692466
1003,59626,Villers-Pol,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,53,483,0.682692466
1003,59325,Jolimetz,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,39,483,0.682692466
1003,59217,Eth,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,10,483,0.682692466
1003,59265,Gommegnies,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,70,483,0.682692466
1003,59323,Jenlain,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,23,483,0.682692466
1003,59559,Sebourg,245901160,59,32,8.055925265,6.299010944,10.30287651,maille,73,483,0.682692466
1003,59639,Wargnies-le-Grand,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,38,483,0.682692466
1003,59381,Maresches,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,23,483,0.682692466
1003,59640,Wargnies-le-Petit,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,14,483,0.682692466
1003,59468,Potelle,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,5,483,0.682692466
1003,59473,Preux-au-Sart,200043321,59,32,8.055925265,6.299010944,10.30287651,maille,7,483,0.682692466
1004,14118,Caen,200065597,14,28,9.607374264,7.7175838,11.95991422,commune,1278,2430,0.758893455
1004,14538,Castine-en-Plaine,200065597,14,28,9.096144125,7.308074802,11.32170102,maille,67,2430,0.758893455
1004,14137,Carpiquet,200065597,14,28,9.096144125,7.308074802,11.32170102,maille,77,2430,0.758893455
1004,14277,Fontenay-le-Marmion,200066728,14,28,9.096144125,7.308074802,11.32170102,maille,55,2430,0.758893455
1004,14092,Bourguébus,200065597,14,28,9.23479135,7.413662366,11.50327154,commune,112,2430,0.758893455
1004,14181,Cormelles-le-Royal,200065597,14,28,9.313779999,7.481775688,11.59437298,commune,143,2430,0.758893455
1004,14271,Fleury-sur-Orne,200065597,14,28,9.170193568,7.362461007,11.42178546,commune,211,2430,0.758893455
1004,14341,Ifs,200065597,14,28,9.193873588,7.385840991,11.44450736,commune,391,2430,0.758893455
1004,14556,Saint-André-sur-Orne,200065597,14,28,9.096144125,7.308074802,11.32170102,maille,26,2430,0.758893455
1004,14587,Saint-Germain-la-Blanche-Herbe,200065597,14,28,9.096144125,7.308074802,11.32170102,maille,70,2430,0.758893455
1005,68109,Griesbach-au-Val,246800585,68,44,9.106736546,7.029287399,11.79815902,maille,1,479,0.681229232
1005,68250,Orschwihr,246800569,68,44,9.106736546,7.029287399,11.79815902,maille,15,479,0.681229232
1005,68083,Eschbach-au-Val,246800585,68,44,9.106736546,7.029287399,11.79815902,maille,0,479,0.681229232
1005,68247,Oderen,246800205,68,44,9.106736546,7.029287399,11.79815902,maille,4,479,0.681229232
1005,68172,Kunheim,200066025,68,44,9.106736546,7.029287399,11.79815902,maille,14,479,0.681229232
1005,68076,Durrenentzen,200066025,68,44,9.106736546,7.029287399,11.79815902,maille,5,479,0.681229232
1005,68188,Linthal,246800569,68,44,9.106736546,7.029287399,11.79815902,maille,4,479,0.681229232
1005,68364,Westhalten,246800494,68,44,9.106736546,7.029287399,11.79815902,maille,14,479,0.681229232
1005,68210,Mittlach,246800585,68,44,9.106736546,7.029287399,11.79815902,maille,6,479,0.681229232
1005,68123,Hattstatt,246800494,68,44,9.106736546,7.029287399,11.79815902,maille,28,479,0.681229232
1005,68311,Sondernach,246800585,68,44,9.106736546,7.029287399,11.79815902,maille,2,479,0.681229232
1005,68352,Volgelsheim,200066025,68,44,9.106736546,7.029287399,11.79815902,maille,8,479,0.681229232
1005,68227,Muntzenheim,246800726,68,44,9.106736546,7.029287399,11.79815902,maille,26,479,0.681229232
1005,68360,Weckolsheim,200066025,68,44,9.106736546,7.029287399,11.79815902,maille,8,479,0.681229232
1005,68136,Hettenschlag,200066025,68,44,9.106736546,7.029287399,11.79815902,maille,6,479,0.681229232
1005,68316,Soultzbach-les-Bains,246800585,68,44,9.106736546,7.029287399,11.79815902,maille,5,479,0.681229232
1005,68150,Husseren-les-Châteaux,246800494,68,44,9.106736546,7.029287399,11.79815902,maille,10,479,0.681229232
1005,68318,Soultzmatt,246800569,68,44,9.106736546,7.029287399,11.79815902,maille,28,479,0.681229232
1005,68036,Biesheim,200066025,68,44,9.106736546,7.029287399,11.79815902,maille,6,479,0.681229232
1005,68001,Algolsheim,200066025,68,44,9.106736546,7.029287399,11.79815902,maille,9,479,0.681229232
1005,68078,Eguisheim,246800494,68,44,9.106736546,7.029287399,11.79815902,maille,18,479,0.681229232
1005,68134,Herrlisheim-près-Colmar,246800726,68,44,9.106736546,7.029287399,11.79815902,maille,41,479,0.681229232
1005,68246,Obersaasheim,200066025,68,44,9.106736546,7.029287399,11.79815902,maille,16,479,0.681229232
1005,68345,Urschenheim,200066025,68,44,9.106736546,7.029287399,11.79815902,maille,15,479,0.681229232
1005,68255,Pfaffenheim,246800494,68,44,9.106736546,7.029287399,11.79815902,maille,40,479,0.681229232
1005,68235,Niederhergheim,246800445,68,44,9.106736546,7.029287399,11.79815902,maille,13,479,0.681229232
1005,68193,Luttenbach-près-Munster,246800585,68,44,9.106736546,7.029287399,11.79815902,maille,6,479,0.681229232
1005,68351,Vogelgrun,200066025,68,44,9.106736546,7.029287399,11.79815902,maille,2,479,0.681229232
1005,68111,Gueberschwihr,246800494,68,44,9.106736546,7.029287399,11.79815902,maille,14,479,0.681229232
1005,68368,Wihr-au-Val,246800585,68,44,9.106736546,7.029287399,11.79815902,maille,8,479,0.681229232
1005,68051,Breitenbach-Haut-Rhin,246800585,68,44,9.106736546,7.029287399,11.79815902,maille,2,479,0.681229232
1005,68244,Obermorschwihr,246800494,68,44,9.106736546,7.029287399,11.79815902,maille,12,479,0.681229232
1005,68295,Sainte-Croix-en-Plaine,246800726,68,44,9.106736546,7.029287399,11.79815902,maille,53,479,0.681229232
1005,68365,Wettolsheim,246800726,68,44,9.106736546,7.029287399,11.79815902,maille,40,479,0.681229232
1006,62408,Hames-Boucres,200090751,62,32,8.631874875,7.356160534,10.12882515,maille,26,518,0.826516878
1006,62397,Guînes,200072478,62,32,7.944164573,6.771652851,9.319696704,commune,240,518,0.826516878
1006,62444,Hervelinghen,246200380,62,32,8.631874875,7.356160534,10.12882515,maille,16,518,0.826516878
1006,62360,Fréthun,200090751,62,32,8.631874875,7.356160534,10.12882515,maille,17,518,0.826516878
1006,62769,Saint-Tricat,200090751,62,32,8.631874875,7.356160534,10.12882515,maille,10,518,0.826516878
1006,62239,Coquelles,200090751,62,32,8.631874875,7.356160534,10.12882515,maille,32,518,0.826516878
